Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BASS,100k-A,16MM_T.MOUNT,9.7,-49.1,0,top
C1,10nF,805,52.5,-78,-90,top
C2,4.7nF,1206,17,-61,0,top
C4,2.2uF,1206,52.5,-60.5,90,top
C5,560pF,402,13,-64,180,top
C6,22nF,805,12,-78,0,top
C7,22nF,805,41,-74.5,-90,top
C8,47nF,1206,0.5,-41,90,top
C10,30pF,603,26.5,-41.25,180,top
C11,100pF,603,32,-40,-90,top
C14,10nF,805,32.5,-45,-90,top
C15,3.3nF,603,0.5,-68.09836,90,top
C16,10nF,805,32.5,-54.5,-90,top
C17,22nF,805,30,-72,180,top
C18,10nF,805,32.5,-33.5,-90,top
C19,3.3nF,603,33.5,-28.84836,90,top
C22,47nF,1206,7.5,-52.5,0,top
C23,560pF,402,20.5,-49.5,0,top
D1,1N5817,D_SOD-123,52.5,-54.65,90,top
D2,LED,LED_D5.0mm,24.93,-21.79,0,top
D3,1N5817,D_SOD-123,43.5,-40.5,-90,top
D4,1N5817,D_SOD-123,46.5,-68,90,top
D5,1N914,D_SOD-323F,20,-70,0,top
D6,1N914,D_SOD-323F,20,-66.5,180,top
GAIN,1M-A,16MM_T.MOUNT,42.7,-23.7,0,top
R1,2.2M,R_1206_3216Metric,46,-79,180,top
R2,2.2M,R_1206_3216Metric,31.5,-67,180,top
R5,10k,R_1206_3216Metric,12,-70,180,top
R7,4.7k,R_1210_3225Metric,26,-66.5,90,top
R8,2.2M,R_1206_3216Metric,14,-53,0,top
R9,56k,R_1206_3216Metric,9.5,-61.5,180,top
R12,2.2M,R_1206_3216Metric,30,-62.5,180,top
R13,2.2M,R_1206_3216Metric,22,-62,180,top
R14,10k,R_1206_3216Metric,7,-70,180,top
R15,100k,R_1206_3216Metric,9,-57,180,top
R16,100k,R_1206_3216Metric,17,-57.5,0,top
R17,22k,R_0805_2012Metric,6,-32.5,180,top
R18,10k,R_1206_3216Metric,38,-40.5,-90,top
R19,22k,R_0805_2012Metric,24,-72,0,top
R20,22k,R_0805_2012Metric,7,-75,180,top
R21,10k,R_1206_3216Metric,36.5,-54,-90,top
R22,100k,R_1206_3216Metric,32.5,-49,180,top
TREBLE,100k-A,16MM_T.MOUNT,42.7,-49.1,0,top
U1,TL072,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,26,-34.5,0,top
U3,OP07,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,26,-44.9,0,top
U4,TL072,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,26,-55.3,0,top
VOLUME,100k-A,16MM_T.MOUNT,9.7,-23.7,0,top
